id,publication_year,cited_by_count,author_ids
https://openalex.org/W2069352675,1929,61,"https://openalex.org/A5039188573, https://openalex.org/A5011035455"
https://openalex.org/W3155596533,2021,61,"https://openalex.org/A5068497573, https://openalex.org/A5002607503, https://openalex.org/A5008888392, https://openalex.org/A5054960661, https://openalex.org/A5011035455, https://openalex.org/A5105508446, https://openalex.org/A5081476701, https://openalex.org/A5033081182, https://openalex.org/A5052965447"
https://openalex.org/W2404911150,2016,63,"https://openalex.org/A5018717377, https://openalex.org/A5067767921, https://openalex.org/A5077381667, https://openalex.org/A5085826258"
https://openalex.org/W2782958045,2018,58,"https://openalex.org/A5026578340, https://openalex.org/A5018717377, https://openalex.org/A5112366358, https://openalex.org/A5060362716"
https://openalex.org/W1992880491,2007,74,https://openalex.org/A5034213821
https://openalex.org/W3032693158,2020,38,"https://openalex.org/A5017717665, https://openalex.org/A5032323046, https://openalex.org/A5086339706, https://openalex.org/A5045118643, https://openalex.org/A5050037591"
https://openalex.org/W3016360720,2020,37,"https://openalex.org/A5072156055, https://openalex.org/A5054630728"
https://openalex.org/W3044248538,2020,36,"https://openalex.org/A5018717377, https://openalex.org/A5071797963, https://openalex.org/A5036348416"
https://openalex.org/W3098339481,2020,35,"https://openalex.org/A5005839111, https://openalex.org/A5072156055, https://openalex.org/A5091533231, https://openalex.org/A5044033087, https://openalex.org/A5111672074"
https://openalex.org/W3105381247,2019,31,"https://openalex.org/A5053273786, https://openalex.org/A5011035455, https://openalex.org/A5065531884, https://openalex.org/A5013827698"
https://openalex.org/W3087088759,2020,28,"https://openalex.org/A5077429278, https://openalex.org/A5089489303, https://openalex.org/A5061225686, https://openalex.org/A5017056183"
https://openalex.org/W3127193030,2021,23,"https://openalex.org/A5032323046, https://openalex.org/A5014213664, https://openalex.org/A5044389898, https://openalex.org/A5050037591"
https://openalex.org/W3126684379,2022,17,"https://openalex.org/A5055236010, https://openalex.org/A5019818981, https://openalex.org/A5022601535"
https://openalex.org/W3196358492,2021,21,"https://openalex.org/A5090385282, https://openalex.org/A5020361035, https://openalex.org/A5100730193, https://openalex.org/A5061225686, https://openalex.org/A5100436197, https://openalex.org/A5028179772"
https://openalex.org/W2053829680,2014,22,"https://openalex.org/A5011035455, https://openalex.org/A5047381329"
https://openalex.org/W2606124137,2018,22,"https://openalex.org/A5072156055, https://openalex.org/A5021830443, https://openalex.org/A5019808661"
https://openalex.org/W2804797131,2018,21,"https://openalex.org/A5011035455, https://openalex.org/A5053273786, https://openalex.org/A5027673966, https://openalex.org/A5022224624"
https://openalex.org/W3105072392,2020,19,"https://openalex.org/A5038355456, https://openalex.org/A5011035455, https://openalex.org/A5013827698"
https://openalex.org/W2060387722,2006,34,"https://openalex.org/A5036326592, https://openalex.org/A5011035455, https://openalex.org/A5084285136, https://openalex.org/A5082736897"
https://openalex.org/W614114729,2012,23,https://openalex.org/A5011035455
